epoch,train_loss,val_loss,train_accuracy,train_precision,train_recall,val_accuracy,val_precision,val_recall
1.0,0.5056555178016424,1.0862705707550049,0.8286852589641435,0.8174171842650103,0.8163449163449163,0.3787878787878788,0.595679012345679,0.3397435897435897
2.0,0.24026821018196642,1.9447343349456787,0.9402390438247012,0.9327726809378185,0.9356070356070356,0.3939393939393939,0.797979797979798,0.3333333333333333
3.0,0.07302323801559396,2.317607124646505,0.9880478087649402,0.987512956527041,0.9892320892320893,0.3939393939393939,0.797979797979798,0.3333333333333333
4.0,0.04703903381960117,2.0131433407465615,0.9880478087649402,0.9894054593044995,0.9857142857142858,0.3939393939393939,0.797979797979798,0.3333333333333333
5.0,0.023459417393041804,1.5372287233670552,0.9920318725099602,0.9907407407407408,0.9922350922350923,0.3787878787878788,0.4615384615384615,0.32051282051282054
6.0,0.04477103917412251,2.2600410183270774,0.9840637450199203,0.9812091503267975,0.980952380952381,0.3939393939393939,0.797979797979798,0.3333333333333333
7.0,0.045193211555620394,1.6930859883626301,0.9800796812749004,0.9765873015873017,0.9797082797082797,0.48484848484848486,0.8111111111111112,0.43333333333333335
8.0,0.026985243483289345,0.5601309011302268,0.9880478087649402,0.989338390223346,0.9857142857142858,0.7727272727272727,0.8571428571428571,0.75
9.0,0.05732042587581454,0.7446789446597298,0.9760956175298805,0.9738028960027348,0.9749463749463749,0.7121212121212122,0.829759584145549,0.6833333333333332
10.0,0.06614923797400597,0.32590755688336986,0.9760956175298805,0.9786018755328217,0.9714285714285715,0.8333333333333334,0.8817204301075269,0.8166666666666668
