epoch,train_loss,val_loss,train_accuracy,train_precision,train_recall,val_accuracy,val_precision,val_recall
1.0,1.0948021858930588,1.0215797424316406,0.4103585657370518,0.3591820987654321,0.3427284427284427,0.30303030303030304,0.7676767676767677,0.3333333333333333
2.0,1.1306482385843992,0.8893133004506429,0.49800796812749004,0.4536688311688312,0.4299013299013299,0.5909090909090909,0.48148148148148145,0.576923076923077
3.0,0.8986264893319458,0.7985973358154297,0.8207171314741036,0.8011998925946203,0.8033033033033034,0.6212121212121212,0.5705128205128206,0.5987179487179487
4.0,0.7833310344431084,1.046656350294749,0.8844621513944223,0.8787996680153544,0.8671814671814673,0.7121212121212122,0.8276125095347063,0.6987179487179488
5.0,0.7974801656928321,0.8006986379623413,0.852589641434263,0.8399125347544022,0.8396396396396396,0.6363636363636364,0.79,0.6115384615384616
6.0,0.7764828279282483,1.051987846692403,0.8685258964143426,0.8680180606864324,0.8551694551694552,0.696969696969697,0.8224553224553225,0.6858974358974358
7.0,0.7616878384682764,0.7127980391184489,0.8725099601593626,0.8594491927825261,0.8599313599313598,0.7727272727272727,0.7784479717813051,0.7615384615384615
8.0,0.7416268020164622,0.962228258450826,0.900398406374502,0.895893791183951,0.8879879879879881,0.8181818181818182,0.8391208791208792,0.8153846153846155
9.0,0.7264593917788522,0.7855523626009623,0.9163346613545816,0.9087137638693545,0.9087945087945087,0.6515151515151515,0.7860998650472335,0.6282051282051282
10.0,0.7167186374299409,0.6334167122840881,0.9243027888446215,0.9190287555169684,0.9183183183183184,0.8787878787878788,0.8794847020933977,0.8820512820512821
